	filename	st_time	label	type
23536	5WhaiX59_Jo	71	0	train
59341	Ges-_tfTMec	21	0	train
110618	YFl49mF-cas	16	0	train
144131	io4MBcSoMvY	15	0	train
80791	NnwZMbjcWfI	2	0	train
113334	ZB1BKi_jNXw	106	0	train
25161	6-19NFtyrhQ	32	0	train
104470	W9x-F2x_Nmo	9	0	train
186805	yqvS3ItdNLQ	2	0	train
102512	VSHm9Am8usc	6	0	train
115969	_5UY2jfF-uY	34	0	train
9482	1WO1tg3-cD0	45	0	train
67562	JKk1rBAwO1o	137	0	train
157179	nL4l4ZBg0IA	13	0	train
187773	zBD4JmIPhxA	144	0	train
61465	HND8lhdYWmM	29	0	train
112840	Z0Ltb-hLNoc	204	0	train
30770	7etCpWFLdjM	11	0	train
4368	067bxk5ZidA	47	0	train
34619	8v785WInbC8	35	0	train
39254	AMbzlBt-v-8	40	0	train
171800	smieK7KlMkk	11	0	train
116627	_JymT5DTbNo	198	0	train
139674	hGA4rvzdesg	38	0	train
22888	5JhAJduAm6A	15	0	train
40414	AhmHEsTXpAI	39	0	train
6906	0nSSsDviBb0	68	0	train
109787	XytlXUn_D6A	30	0	train
173770	tf3-R3CuQUA	33	0	train
40576	AkXTp7cusoo	97	0	train
8924	1Mss9uTB_M4	3	0	train
106982	X0joRwZHZsE	16	0	train
181814	x4t-HA2Vm_s	1	0	train
12991	2Ui1MPLKJIo	110	0	train
76732	MNB9PrFaZls	22	0	train
93895	SMNZtLC7GC4	3	0	train
110472	YCET7m8asfM	72	0	train
84882	PE0ujuMgJO0	75	0	train
41612	B4lB1TLeOxg	1	0	train
161195	olD6fUq9L2c	26	0	train
24565	5o73GKzkWfU	2	0	train
99819	UTJeVe_H9Dw	41	0	train
114264	ZUpYgGKzK-s	311	0	train
41082	Av3XKzGQTjw	1	0	train
99792	USdUbOS_wyI	99	0	train
31940	83mmLOdwZlA	81	0	train
10313	1jLED5S5x-U	195	0	train
4369	067bxk5ZidA	79	0	train
182371	xI1rLLmCizU	2	0	train
34620	8v785WInbC8	45	0	train
161194	olD6fUq9L2c	16	0	train
168986	r_64TX11Lus	7	0	train
130754	eCrTU9Iel18	128	0	train
102271	VLuerVXFD84	169	0	train
142878	iLhJ2bv_GP8	0	0	train
11553	24rn5I7XVcw	5	0	train
132268	ejMTol60hJ0	185	0	train
63828	I7XpEnk51tQ	483	0	train
40415	AhmHEsTXpAI	85	0	train
189391	zleV5xLzF5c	81	0	train
112341	YqctyziJBl8	0	0	train
29933	7PZq2oN82yQ	17	0	train
21944	52UUFb2uej0	12	0	train
32372	8BJjZUPr2p0	60	0	train
96482	TGxdMP7pF0E	59	0	train
110884	YLLDrVEvTBA	13	0	train
153334	m-LELtFe6qQ	1	0	train
103084	VgGdOFYfBU4	135	0	train
8538	1FJ9_KyDAk0	4	0	train
106638	WuRFzmTaym8	68	0	train
80859	Npq4bGtxxS0	141	0	train
182837	xRbhXPUmeRk	39	0	train
187451	z4BpcmujV44	105	0	train
119375	aG0XYaNIMec	20	0	train
110989	YNxbO5cyhmU	12	0	train
8539	1FJ9_KyDAk0	32	0	train
114263	ZUpYgGKzK-s	3	0	train
171939	sqroigBGc98	216	0	train
33739	8baO5cBX3YA	4	0	train
106637	WuRFzmTaym8	53	0	train
25466	64EYMGH9zzE	258	0	train
143781	ifqgtqeTf-M	5	0	train
185041	yDLez3y4304	0	0	train
137383	gTcoVk7uFYw	0	0	train
